Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,Texas,McKinney,DEF Machines,7,Asus,ROG Strix Scar III,HDD,Ashley Wright,New Sales,18384,23384,Cash,937,2022-07-17,,0,16GB,685,Offline,Low,0,570,21010,1TB
Africa,Kenya,Mombasa,XYZ Tech,7,HP,Stream,HDD,Tonya Nolan,Repairs,18950,23116,Finance,50,2024-01-13,2024-02-12,5166,16GB,786,Online,High,3465,380,22010,1TB
North America,California,Oxnard,XYZ Tech,7,Apple,Apple Lisa,HDD,Alyssa Martinez,Repairs,15215,19439,Cash,286,2021-11-22,,0,2GB,401,Offline,Medium,1981,146,17913,256GB
North America,Pennsylvania,Wilkes-Barre,Benjis Tech,2,Lenovo,IdeaPad Flex 5,SSD,Lisa Graham,Returns,14132,16444,Cash,132,2023-10-07,,0,4GB,656,Offline,High,0,856,15699,1TB
North America,Michigan,Saginaw,Benjis Tech,3,Apple,Apple Mac Mini,HDD,Allen Juarez,Second-hand Sales,12365,15254,Bank Transfer,984,2023-10-24,2023-11-04,0,16GB,488,Online,Medium,0,549,13599,256GB
North America,Ohio,Beavercreek,Western International PCs,2,Dell,Precision,HDD,Max Mccann,New Sales,12187,14372,Finance,549,2021-05-21,,43712,8GB,573,Offline,Low,0,781,13327,500GB
Africa,Botswana,Kweneng,CK Tech Store,2,Asus,ZenBook UX425,HDD,Madison Davis,Repairs,19899,23008,Cash,502,2022-10-10,2022-10-18,0,4GB,676,Online,Medium,3902,762,22285,256GB
Africa,Ethiopia,Harari,Greens Laptops and PCs,2,Acer,Spin 5,HDD,Joseph Good,Repairs,26911,30154,Cash,439,2022-01-25,2022-02-02,0,2GB,550,Online,Medium,3962,1000,30047,256GB
North America,California,Irvine,GH PC Shop,1,Microsoft,Surface Neo,HDD,Amber Montgomery,Second-hand Sales,2688,5948,Bank Transfer,894,2023-02-08,,0,2GB,473,Offline,High,0,321,3130,1TB
Africa,South Africa,Northern Cape,S & A Computer Place,7,Asus,TUF Gaming A15,SSD,Daniel Lane,Repairs,19245,23505,Finance,555,2023-09-29,,3330,2GB,434,Offline,Low,1783,850,20130,256GB
